GRB090926A
Pass 8
RA: 353.56, Dec: -66.37, Error: 0.06 degrees
MET Trigger Time: 275631628.990, Redshift: 2.11
3 degree extended list, 1000 seconds before and after trigger time

| ENERGY(MeV) | TIME(Seconds) | DISTANCE(Degrees) | CLASSIFICATION |
|     218.017 |    9.97509742 |             0.941 |          EVENT |
|      57.912 |    9.98004359 |             1.761 |         PHOTON |
|      85.690 |    9.99967396 |             1.916 |         PHOTON |
|     248.445 |   10.00534272 |             0.785 |         PHOTON |
|     247.570 |   10.01223147 |             2.099 |         PHOTON |
|      44.531 |   10.02279872 |             1.989 |          EVENT |
|      43.663 |   10.02482778 |             1.883 |          EVENT |
|     201.636 |   10.02853894 |             0.386 |         PHOTON |
|     359.455 |   10.04385352 |             1.653 |          EVENT |
|     184.342 |   10.04978496 |             0.401 |         PHOTON |
|     137.458 |   10.05209780 |             0.733 |          EVENT |
|      90.702 |   10.06723887 |             2.562 |         PHOTON |
|     240.823 |   10.11050725 |             0.839 |         PHOTON |
|     241.837 |   10.11161780 |             1.398 |         PHOTON |
|     356.608 |   10.13797849 |             1.572 |         PHOTON |
|     146.829 |   10.14401299 |             1.131 |         PHOTON |
|      84.995 |   10.18487680 |             0.660 |          EVENT |
|      38.913 |   10.20720470 |             1.927 |          EVENT |
|      81.466 |   10.21560681 |             0.724 |          EVENT |
|      93.279 |   10.28346252 |             1.420 |         PHOTON |
|     203.494 |   10.33713305 |             2.933 |         PHOTON |
|     477.985 |   10.37654567 |             1.765 |         PHOTON |
|     246.632 |   10.43522513 |             0.157 |          EVENT |
|     206.518 |   10.46030259 |             1.412 |         PHOTON |
|     220.128 |   10.46568900 |             0.861 |         PHOTON |
|    1439.572 |   10.52996153 |             0.322 |         PHOTON |
|     125.887 |   10.58497941 |             1.387 |         PHOTON |
|     599.201 |   10.61849290 |             0.640 |         PHOTON |
|     182.502 |   10.69110072 |             2.461 |         PHOTON |
|     129.222 |   10.69637173 |             2.208 |          EVENT |
|     320.209 |   10.72266573 |             1.602 |         PHOTON |
|     197.247 |   10.73476416 |             1.189 |         PHOTON |
|     112.780 |   10.74017453 |             1.656 |          EVENT |
|     140.576 |   10.75247902 |             0.594 |          EVENT |
|     449.750 |   10.76083112 |             2.682 |         PHOTON |
