GRB080916C
Pass 8
RA: 119.89, Dec: -56.70, Error: 0.07 degrees
MET Trigger Time: 243216766.620, Redshift: 4.35
3 degree extended list, 1000 seconds before and after trigger time

| ENERGY(MeV) | TIME(Seconds) | DISTANCE(Degrees) | CLASSIFICATION |
|     107.647 |   10.55626032 |             1.753 |         PHOTON |
|     118.834 |   10.75930122 |             1.495 |         PHOTON |
|      61.407 |   10.75987306 |             2.737 |         PHOTON |
|      51.514 |   10.84237394 |             0.876 |          EVENT |
|     808.851 |   11.09068632 |             0.176 |         PHOTON |
|      75.396 |   11.44080687 |             0.356 |         PHOTON |
|      98.970 |   11.67730084 |             1.955 |         PHOTON |
|     473.324 |   12.33666402 |             0.701 |         PHOTON |
|     132.580 |   12.41451195 |             1.242 |          EVENT |
|     660.198 |   12.73947901 |             1.113 |         PHOTON |
|     145.926 |   12.78295684 |             2.411 |          EVENT |
|     954.978 |   12.94216052 |             0.966 |          EVENT |
|     276.633 |   13.47308761 |             0.999 |         PHOTON |
|     163.285 |   13.51668242 |             0.832 |         PHOTON |
|     152.947 |   13.67634356 |             1.979 |          EVENT |
|     699.252 |   13.86123329 |             0.483 |         PHOTON |
|     103.274 |   14.11822093 |             2.473 |          EVENT |
|     450.698 |   14.15355313 |             0.666 |          EVENT |
|     238.106 |   14.17016706 |             0.411 |         PHOTON |
|     737.033 |   14.41005313 |             0.841 |         PHOTON |
|     369.604 |   14.53072894 |             0.831 |         PHOTON |
|     104.953 |   14.64722469 |             1.892 |         PHOTON |
|      49.617 |   15.17573276 |             1.956 |         PHOTON |
|     238.221 |   15.91507149 |             2.767 |         PHOTON |
|     168.537 |   16.07631633 |             0.272 |          EVENT |
|   12421.473 |   16.53811711 |             0.103 |         PHOTON |
|      56.295 |   16.58402583 |             2.639 |          EVENT |
|     109.945 |   16.61101121 |             1.018 |         PHOTON |
|    1230.389 |   16.79813421 |             0.470 |         PHOTON |
|     120.039 |   16.81449735 |             2.500 |          EVENT |
|     158.512 |   17.08660722 |             1.288 |         PHOTON |
|     105.600 |   17.18451276 |             0.858 |         PHOTON |
|      88.980 |   17.49725422 |             2.186 |          EVENT |
|     106.606 |   17.56380895 |             2.627 |          EVENT |
|      90.991 |   17.65368193 |             2.065 |          EVENT |
|     262.407 |   17.79161701 |             1.065 |          EVENT |
|     129.819 |   17.84381649 |             2.781 |         PHOTON |
|     244.139 |   17.86614865 |             1.504 |         PHOTON |
|      94.373 |   19.18709046 |             2.525 |         PHOTON |
|     159.493 |   19.37910354 |             2.679 |         PHOTON |
|     107.096 |   19.51013771 |             0.858 |          EVENT |
