GRB090510
Pass 8
RA: 333.57, Dec: -26.62, Error: 0.05 degrees
MET Trigger Time: 263607781.970, Redshift: 0.9
3 degree extended list, 1000 seconds before and after trigger time

| ENERGY(MeV) | TIME(Seconds) | DISTANCE(Degrees) | CLASSIFICATION |
|     559.680 |    1.01480100 |             0.114 |         PHOTON |
|     153.652 |    1.01584458 |             2.502 |          EVENT |
|     130.301 |    1.02177024 |             1.241 |          EVENT |
|     277.620 |    1.02824277 |             1.276 |         PHOTON |
|     702.599 |    1.03296643 |             1.708 |         PHOTON |
|     181.437 |    1.05528235 |             2.399 |         PHOTON |
|     448.858 |    1.06294948 |             0.814 |         PHOTON |
|    1363.826 |    1.06765977 |             0.445 |         PHOTON |
|     189.633 |    1.07066509 |             2.497 |         PHOTON |
|     116.767 |    1.09147209 |             1.322 |         PHOTON |
|      81.666 |    1.09826076 |             0.918 |          EVENT |
|     285.377 |    1.11206889 |             2.067 |         PHOTON |
|      67.984 |    1.11413452 |             2.963 |          EVENT |
|     256.903 |    1.11927885 |             2.211 |         PHOTON |
|     255.041 |    1.14691153 |             1.590 |         PHOTON |
|      89.338 |    1.16107729 |             2.459 |         PHOTON |
|     326.369 |    1.16172504 |             0.420 |         PHOTON |
|     372.405 |    1.16262683 |             0.321 |         PHOTON |
|      64.882 |    1.16332352 |             0.717 |          EVENT |
|     350.221 |    1.16836244 |             1.848 |         PHOTON |
|    1638.653 |    1.17061141 |             0.149 |         PHOTON |
|      41.345 |    1.17270589 |             2.882 |          EVENT |
|     120.731 |    1.17678154 |             2.849 |          EVENT |
|    1415.148 |    1.18278319 |             0.344 |         PHOTON |
|      58.003 |    1.19924632 |             1.877 |         PHOTON |
|     220.301 |    1.20581129 |             0.213 |         PHOTON |
|     178.907 |    1.21079716 |             0.812 |          EVENT |
|      80.821 |    1.22088525 |             2.921 |          EVENT |
|     252.736 |    1.23330772 |             1.164 |         PHOTON |
|     162.576 |    1.25195950 |             1.133 |          EVENT |
|     222.546 |    1.25499710 |             2.048 |         PHOTON |
|     211.179 |    1.26624900 |             1.657 |         PHOTON |
|     120.575 |    1.28545845 |             0.774 |          EVENT |
|    2187.184 |    1.29444873 |             0.278 |         PHOTON |
|     251.996 |    1.29451257 |             1.331 |         PHOTON |
|      92.356 |    1.29661363 |             2.670 |          EVENT |
|      43.166 |    1.29948208 |             1.905 |          EVENT |
|     550.231 |    1.30095106 |             0.527 |          EVENT |
|     156.394 |    1.30975616 |             0.641 |         PHOTON |
|     511.018 |    1.31242836 |             0.821 |         PHOTON |
|      61.767 |    1.33073226 |             2.806 |         PHOTON |
|     207.298 |    1.33341643 |             2.984 |         PHOTON |
|     122.341 |    1.36791363 |             0.823 |         PHOTON |
|     116.597 |    1.40734705 |             1.964 |         PHOTON |
|      77.166 |    1.47434574 |             1.730 |         PHOTON |
|     109.393 |    1.49099371 |             1.858 |          EVENT |
|     884.870 |    1.50941652 |             2.487 |          EVENT |
|      52.845 |    1.51640716 |             0.240 |          EVENT |
|     243.940 |    1.51955888 |             0.616 |         PHOTON |
|     368.774 |    1.52083138 |             1.624 |         PHOTON |
|     254.146 |    1.54953113 |             0.481 |          EVENT |
|    4438.914 |    1.55596316 |             0.079 |         PHOTON |
|     221.235 |    1.55762994 |             1.426 |         PHOTON |
|     116.642 |    1.58603731 |             1.720 |         PHOTON |
|      56.815 |    1.58621156 |             2.698 |         PHOTON |
|     103.213 |    1.59178975 |             0.918 |         PHOTON |
|    2205.632 |    1.59434193 |             0.524 |         PHOTON |
|      88.897 |    1.66822535 |             1.192 |         PHOTON |
|      89.143 |    1.73246160 |             1.428 |          EVENT |
|      30.135 |    1.74897999 |             2.853 |          EVENT |
|     580.703 |    1.75412986 |             0.398 |         PHOTON |
|     126.456 |    1.76254436 |             2.520 |          EVENT |
|     316.020 |    1.77289042 |             0.093 |         PHOTON |
|     103.923 |    1.78448540 |             1.920 |          EVENT |
|      75.149 |    1.87989289 |             0.633 |          EVENT |
|     203.196 |    1.91149098 |             0.305 |         PHOTON |
|      77.083 |    1.96105090 |             1.057 |          EVENT |
|      97.181 |    1.97929180 |             1.820 |         PHOTON |
|     738.649 |    1.99647853 |             0.787 |         PHOTON |
|     414.282 |    2.04099050 |             0.471 |          EVENT |
|     464.463 |    2.05625850 |             0.589 |         PHOTON |
|      82.990 |    2.08253515 |             1.974 |          EVENT |
|     192.586 |    2.09293029 |             1.187 |          EVENT |
|      49.739 |    2.12224230 |             1.480 |          EVENT |
|     991.120 |    2.15672430 |             2.828 |         PHOTON |
|    1690.937 |    2.24035403 |             0.060 |         PHOTON |
|      52.447 |    2.25180852 |             1.899 |         PHOTON |
|      58.342 |    2.26411405 |             2.311 |          EVENT |
|     609.641 |    2.28296071 |             0.661 |         PHOTON |
|      45.844 |    2.30161011 |             0.450 |         PHOTON |
|      70.971 |    2.35997409 |             0.650 |          EVENT |
|      61.445 |    2.43094924 |             1.335 |          EVENT |
|      44.349 |    2.52779716 |             2.918 |          EVENT |
|     134.592 |    2.57521167 |             0.961 |          EVENT |
|      45.366 |    2.58922103 |             2.434 |          EVENT |
|     305.444 |    2.61621869 |             0.600 |          EVENT |
|     239.266 |    2.62835234 |             1.426 |          EVENT |
|      69.521 |    2.66825411 |             2.525 |          EVENT |
|      95.703 |    2.68708178 |             2.618 |         PHOTON |
|     123.234 |    2.74211523 |             2.978 |         PHOTON |
|     202.792 |    2.74458027 |             1.112 |         PHOTON |
|     110.775 |    2.75292814 |             1.000 |         PHOTON |
|      43.703 |    2.75442183 |             0.351 |          EVENT |
|     252.912 |    2.76896158 |             0.496 |         PHOTON |
|    2153.008 |    2.93216437 |             0.390 |         PHOTON |
|     118.982 |    2.94961959 |             0.493 |         PHOTON |
|     256.639 |    2.95481259 |             1.340 |         PHOTON |
|     203.831 |    2.95935884 |             0.551 |         PHOTON |
|      57.954 |    2.98616520 |             1.367 |          EVENT |
|     254.174 |    2.99126202 |             1.639 |         PHOTON |
