GRB131108A
Pass 8
RA: 156.81, Dec: 9.60, Error: 0.22 degrees
MET Trigger Time: 405636118.760, Redshift: 2.4
3 degree extended list, 1000 seconds before and after trigger time

| ENERGY(MeV) | TIME(Seconds) | DISTANCE(Degrees) | CLASSIFICATION |
|     807.979 |    5.98365837 |             0.299 |         PHOTON |
|     180.002 |    6.03835911 |             2.752 |         PHOTON |
|      44.959 |    6.07775569 |             1.402 |          EVENT |
|      60.830 |    6.08690655 |             1.244 |          EVENT |
|      89.223 |    6.09719890 |             0.644 |         PHOTON |
|     235.337 |    6.14416867 |             2.252 |          EVENT |
|     177.313 |    6.15013522 |             1.850 |          EVENT |
|      42.707 |    6.16207755 |             1.952 |         PHOTON |
|      45.651 |    6.34410632 |             1.608 |          EVENT |
|     123.785 |    6.42981052 |             1.269 |         PHOTON |
|      34.426 |    6.58995092 |             2.870 |         PHOTON |
|      64.681 |    6.79485679 |             2.031 |          EVENT |
|     276.616 |    6.79891622 |             1.941 |          EVENT |
|     140.003 |    6.84074622 |             1.226 |         PHOTON |
|     164.117 |    6.86273533 |             2.846 |         PHOTON |
|     175.970 |    6.91468459 |             2.285 |         PHOTON |
|     102.054 |    7.28658372 |             0.538 |         PHOTON |
|     122.714 |    7.40905386 |             1.247 |         PHOTON |
|     134.514 |    7.46784317 |             1.952 |         PHOTON |
|      81.482 |    7.48986298 |             2.833 |          EVENT |
|     138.769 |    7.56057990 |             0.936 |         PHOTON |
|     424.284 |    7.57103854 |             0.064 |         PHOTON |
|     748.087 |    7.61864793 |             0.344 |         PHOTON |
|     144.897 |    7.61917317 |             0.930 |         PHOTON |
|     624.803 |    7.66459554 |             0.839 |          EVENT |
|     456.363 |    7.67736918 |             2.128 |         PHOTON |
|      39.392 |    7.70880157 |             2.200 |          EVENT |
|      94.063 |    7.74764407 |             1.578 |         PHOTON |
|      58.743 |    7.76886642 |             1.691 |          EVENT |
|     453.978 |    7.82979703 |             0.546 |         PHOTON |
|     389.701 |    7.87477219 |             0.524 |         PHOTON |
|     470.365 |    7.89972508 |             0.033 |         PHOTON |
|      77.367 |    7.90124935 |             1.974 |         PHOTON |
|      48.657 |    7.94157892 |             1.234 |         PHOTON |
|     499.297 |    7.94216603 |             0.028 |         PHOTON |
|     449.368 |    7.94767833 |             1.442 |          EVENT |
|     587.138 |    8.14584041 |             1.076 |         PHOTON |
|      66.963 |    8.24933511 |             1.023 |          EVENT |
|      54.778 |    8.26898992 |             0.727 |         PHOTON |
|     116.806 |    8.30128932 |             0.939 |         PHOTON |
|     381.718 |    8.54971737 |             1.938 |         PHOTON |
|      85.750 |    8.58686900 |             0.954 |          EVENT |
|     129.244 |    8.97052723 |             2.005 |         PHOTON |
|     156.998 |    9.19128531 |             2.815 |         PHOTON |
|      65.465 |    9.20625645 |             1.201 |          EVENT |
|     106.660 |    9.28746843 |             0.925 |         PHOTON |
|     263.451 |    9.35263830 |             1.577 |         PHOTON |
|      92.179 |    9.57723290 |             2.604 |         PHOTON |
|      48.954 |    9.79121792 |             2.583 |          EVENT |
|      36.753 |    9.88969594 |             1.003 |          EVENT |
|      58.952 |   10.08847332 |             1.953 |          EVENT |
|      55.190 |   10.23066860 |             1.287 |          EVENT |
|     220.771 |   10.39017040 |             0.835 |          EVENT |
|     147.580 |   10.60863882 |             1.525 |          EVENT |
|      76.470 |   10.64843041 |             1.939 |          EVENT |
|      72.010 |   10.66106784 |             2.681 |          EVENT |
|     124.957 |   10.77224714 |             2.594 |         PHOTON |
|      33.331 |   10.86994916 |             2.325 |         PHOTON |
|     121.115 |   10.94390714 |             1.939 |          EVENT |
|      58.574 |   11.09168613 |             2.945 |         PHOTON |
|     142.926 |   11.28931338 |             2.620 |         PHOTON |
|     159.734 |   11.51869738 |             0.149 |         PHOTON |
|     142.698 |   11.93818259 |             2.466 |         PHOTON |
|     125.547 |   11.93834966 |             0.835 |          EVENT |
|     293.045 |   11.96578932 |             1.543 |         PHOTON |
|      55.868 |   12.21911812 |             1.599 |          EVENT |
|     224.718 |   12.60788292 |             1.296 |         PHOTON |
|     142.251 |   14.57000864 |             0.989 |          EVENT |
|     299.173 |   14.86199200 |             0.921 |         PHOTON |
|      34.535 |   15.07187271 |             1.484 |         PHOTON |
|     210.487 |   15.84035653 |             1.662 |         PHOTON |
|     415.564 |   16.44911075 |             0.227 |         PHOTON |
|      63.966 |   16.86334980 |             0.555 |         PHOTON |
|     221.492 |   17.09524822 |             0.291 |          EVENT |
|     304.393 |   17.28938335 |             1.019 |         PHOTON |
|     685.312 |   17.53233242 |             0.614 |         PHOTON |
|      92.580 |   17.98621476 |             0.844 |         PHOTON |
|      54.544 |   18.12395591 |             1.988 |          EVENT |
|      61.178 |   18.29717886 |             1.715 |          EVENT |
|      51.474 |   18.38512373 |             2.140 |         PHOTON |
|     119.359 |   18.97485483 |             0.802 |          EVENT |
|     266.307 |   19.50801903 |             0.888 |          EVENT |
|     185.319 |   19.87944216 |             2.444 |         PHOTON |
|      53.995 |   20.36236870 |             1.918 |          EVENT |
|      63.853 |   20.41219270 |             2.062 |         PHOTON |
|      68.535 |   21.47122926 |             0.780 |         PHOTON |
|      57.300 |   22.32222581 |             1.523 |         PHOTON |
|      60.102 |   22.36357051 |             2.732 |         PHOTON |
